Cl(A=1.0);Cl(A=2.0);Cl(A=3.0);Cl(A=4.0);Cl(A=5.0);Cl(A=6.0);Cl(A=7.0);Cl(A=8.0);Cl(A=9.0);Cl(A=10.0);Cd(A=1.0);Cd(A=2.0);Cd(A=3.0);Cd(A=4.0);Cd(A=5.0);Cd(A=6.0);Cd(A=7.0);Cd(A=8.0);Cd(A=9.0);Cd(A=10.0);xt;yt;xc;yc;Bte;Yle;Ate;dzte;zte;rle;b8;b0;b2;b15;b17
0.09762903302907944;0.1648375689983368;0.22807760536670685;0.2870163023471832;0.3418956995010376;0.39243730902671814;0.4386961758136749;0.48048555850982666;0.517631471157074;0.5503621697425842;0.12326507270336151;0.12596368789672852;0.1295902132987976;0.13406060636043549;0.13933299481868744;0.145368292927742;0.15214960277080536;0.15960393846035004;0.16765448451042175;0.1762491911649704;0.3043995243757431;0.1000000000000000;0.4000000000000000;0.0500000000000000;0.0000000000000002;0.6786266464842217;1.0293726104077043;0.0021000000000000;0.0005250000000000;-0.0112589086302577;0.0077426685525199;0.0000000000000000;0.1772963767452037;0.8873164962854663;1.0000000000000000 

0.09682297706604004;0.16399981081485748;0.2272235006093979;0.28615859150886536;0.3410433530807495;0.39159736037254333;0.4378720223903656;0.4796851575374603;0.5168599486351013;0.5496244430541992;0.12335564196109772;0.1260543316602707;0.1296803057193756;0.1341494917869568;0.13941967487335205;0.14545151591300964;0.15222758054733276;0.15967559814453125;0.16771815717220306;0.17630326747894287;0.3043995243757431;0.1003003003003003;0.4005005005005005;0.0500450450450450;0.0000000000000002;0.5491949691530453;1.5707963267948966;0.0021063063063063;0.0005265765765766;-0.0113232552568169;0.0092707420088399;0.0000000000000000;0.1804778109807027;0.8824598371499237;1.0000000000000000 

0.0960162803530693;0.16316132247447968;0.2263687252998352;0.2853003144264221;0.3401905596256256;0.39075690507888794;0.43704748153686523;0.4788842797279358;0.5160879492759705;0.5488861203193665;0.12344629317522049;0.12614499032497406;0.12977038323879242;0.1342383176088333;0.1395062804222107;0.1455346643924713;0.152305468916893;0.1597471833229065;0.1677817702293396;0.17635731399059296;0.3043995243757431;0.1006006006006006;0.4010010010010010;0.0500900900900901;0.0036639285243089;0.5161149134041346;0.0000000000000002;0.0021126126126126;0.0005281531531531;-0.0113877949753601;0.0063549941506887;0.0000000000000000;0.1629579087548987;0.9319073613640162;1.0000000000000000 

0.09520895779132843;0.16232208907604218;0.22551329433918;0.28444144129753113;0.3393372893333435;0.3899160921573639;0.43622246384620667;0.47808292508125305;0.5153154134750366;0.5481472611427307;0.12353701889514923;0.12623566389083862;0.12986041605472565;0.13432706892490387;0.13959279656410217;0.14561769366264343;0.1523832529783249;0.15981867909431458;0.16784530878067017;0.17641130089759827;0.3043995243757431;0.1009009009009009;0.4015015015015016;0.0501351351351351;0.0000000000000002;0.5898922962462809;1.5707963267948966;0.0021189189189189;0.0005297297297297;-0.0114525277836197;0.0089962196715024;0.0000000000000000;0.1936802731210482;0.9214789862388917;1.0000000000000000 

0.09440100193023682;0.16148211061954498;0.22465720772743225;0.28358203172683716;0.3384835124015808;0.38907483220100403;0.43539702892303467;0.4772810935974121;0.5145423412322998;0.5474077463150024;0.12362783402204514;0.12632633745670319;0.1299504190683365;0.13441577553749084;0.13967923820018768;0.14570064842700958;0.1524609476327896;0.1598900854587555;0.16790878772735596;0.1764652580022812;0.3043995243757431;0.1012012012012012;0.4020020020020020;0.0501801801801802;0.0000000000000002;0.5339297840411289;0.0141371669411543;0.0021252252252252;0.0005313063063063;-0.0115174536793624;0.0150395358659526;0.0000000000000000;0.1905619868022165;0.9757444887037652;1.0000000000000000 

0.09359242767095566;0.1606413871049881;0.22380048036575317;0.2827220559120178;0.3376292288303375;0.38823315501213074;0.43457114696502686;0.47647878527641296;0.51376873254776;0.5466676354408264;0.12371871620416641;0.12641701102256775;0.13004037737846375;0.13450440764427185;0.13976559042930603;0.14578349888324738;0.15253855288028717;0.15996141731739044;0.16797219216823578;0.17651917040348053;0.3043995243757431;0.1015015015015015;0.4025025025025025;0.0502252252252252;0.0930303189768647;0.6025578207297336;0.0000000000000002;0.0021315315315315;0.0005328828828829;-0.0115825726603880;0.0050467184425892;0.0044496224545452;0.1915880609732881;0.8244979133874651;1.0000000000000000 

0.09278322756290436;0.15979993343353271;0.22294311225414276;0.2818615138530731;0.33677443861961365;0.38739103078842163;0.4337448477745056;0.4756760001182556;0.5129945874214172;0.5459269285202026;0.12380968034267426;0.1265076994895935;0.13013030588626862;0.13459298014640808;0.1398518681526184;0.145866259932518;0.15261606872081757;0.16003264486789703;0.16803553700447083;0.1765730381011963;0.3043995243757431;0.1018018018018018;0.4030030030030030;0.0502702702702703;0.0000000000000002;0.4916825555250308;0.0473426418739037;0.0021378378378378;0.0005344594594595;-0.0116478847245292;0.0092616829501017;0.0027055886365375;0.1866699646637882;0.9365058166536269;1.0000000000000000 

0.09197340905666351;0.15895771980285645;0.222085103392601;0.28100043535232544;0.33591917157173157;0.3865484595298767;0.43291810154914856;0.47487273812294006;0.5122199654579163;0.5451856255531311;0.12390072643756866;0.12659840285778046;0.1302202045917511;0.13468149304389954;0.13993807137012482;0.14594894647598267;0.1526934802532196;0.16010379791259766;0.1680987924337387;0.17662686109542847;0.3043995243757431;0.1021021021021021;0.4035035035035035;0.0503153153153153;0.0000000000000002;0.5928533938534578;1.2992804476694189;0.0021441441441441;0.0005360360360360;-0.0117133898696513;0.0008792700480733;0.0000000000000000;0.1759147391576071;0.9038103419368643;1.0000000000000000 

